DeveloperID,DeveloperName,Country,FoundedYear,StartDate,EndDate,IsActive
101,TechCo,USA,2010,2010-01-01,NULL,TRUE
102,InnovateCorp,UK,2012,2012-01-01,2022-12-31,FALSE
103,FutureGizmos,Canada,2015,2015-01-01,NULL,TRUE
104,VisionTech,Germany,2013,2013-01-01,2021-06-30,FALSE
105,ImmersiveInc,USA,2016,2016-01-01,NULL,TRUE
106,SmartWear,Sweden,2018,2018-01-01,NULL,TRUE
107,TechLabs,Australia,2014,2014-01-01,NULL,TRUE
108,HyperVision,Japan,2020,2020-01-01,NULL,TRUE
109,NextGenVR,France,2017,2017-01-01,NULL,TRUE
110,WorldVR,South Korea,2019,2019-01-01,2023-01-01,FALSE
111,GloveTech,USA,2021,2021-01-01,NULL,TRUE
112,RealTimeAR,India,2022,2022-01-01,NULL,TRUE
113,MetaWorld,China,2021,2021-01-01,NULL,TRUE
114,VRMasters,Spain,2018,2018-01-01,2022-12-31,FALSE
115,HoloGear,Italy,2017,2017-01-01,NULL,TRUE
116,ARWorks,Netherlands,2015,2015-01-01,NULL,TRUE
117,PixelPlay,USA,2020,2020-01-01,NULL,TRUE
118,VisionaryTech,Canada,2019,2019-01-01,NULL,TRUE
119,QuantumVR,UK,2021,2021-01-01,NULL,TRUE
120,SmartVision,Denmark,2022,2022-01-01,NULL,TRUE
