OrderID,UserID,ProductID,OrderDate,Quantity
1,1,3,2023-01-15,2
2,2,7,2023-03-10,1
3,3,12,2023-06-05,3
4,4,8,2023-07-20,1
5,5,5,2023-09-01,2
6,6,14,2023-12-15,1
7,7,19,2023-11-02,4
8,8,20,2023-08-17,1
9,9,2,2023-05-06,3
10,10,9,2023-10-22,2
11,11,11,2023-04-12,1
12,12,6,2023-02-10,5
13,13,4,2023-09-25,2
14,14,17,2023-06-30,3
15,15,18,2023-01-28,1
16,16,1,2023-07-10,2
17,17,3,2023-11-15,1
18,18,13,2023-12-03,2
19,19,16,2023-03-21,1
20,20,10,2023-08-11,4
21,1,3,2024-02-15,1
22,2,7,2024-03-10,3
23,3,12,2024-05-01,2
24,4,8,2024-01-15,1
25,5,5,2024-09-01,3
26,6,14,2024-06-10,2
27,7,19,2024-12-01,1
28,8,20,2024-07-15,4
29,9,2,2024-10-10,2
30,10,9,2024-11-22,3
31,11,11,2024-04-01,2
32,12,6,2024-01-05,3
33,13,4,2024-05-10,1
34,14,17,2024-08-01,2
35,15,18,2024-02-20,4
36,16,1,2024-11-01,1
37,17,3,2024-12-10,3
38,18,13,2024-07-05,1
39,19,16,2024-03-25,2
40,20,10,2024-09-18,5
41,2,7,2024-12-22,1
42,5,5,2024-06-10,3
43,6,14,2024-02-14,4
44,1,3,2024-04-05,2
45,7,19,2024-01-02,1
46,8,20,2024-08-05,2
47,9,2,2024-09-12,1
48,10,9,2024-03-28,3
49,11,11,2024-05-17,1
50,12,6,2024-03-10,4
51,13,4,2024-02-28,2
52,14,17,2024-11-18,1
53,15,18,2024-05-11,2
54,16,1,2024-07-20,3
55,17,3,2024-08-22,4
56,18,13,2024-04-30,3
57,19,16,2024-06-15,2
58,20,10,2024-10-25,1
59,1,3,2024-08-10,3
60,2,7,2024-11-01,1
61,3,12,2024-03-30,2
62,4,8,2024-05-25,4
63,5,5,2024-12-01,3
64,6,14,2024-09-10,2
65,7,19,2024-10-05,5
66,8,20,2024-06-25,1
67,9,2,2024-04-15,3
68,10,9,2024-12-03,2
69,11,11,2024-09-18,1
70,12,6,2024-11-22,2
71,13,4,2024-01-10,1
72,14,17,2024-04-05,2
73,15,18,2024-09-15,3
74,16,1,2024-12-28,1
75,17,3,2024-02-20,3
76,18,13,2024-10-12,2
77,19,16,2024-07-30,4
78,20,10,2024-05-20,2
79,1,3,2024-06-15,4
80,2,7,2024-09-28,1
81,3,12,2024-02-05,1
82,4,8,2024-03-12,3
83,5,5,2024-04-10,2
84,6,14,2024-05-21,4
85,7,19,2024-01-30,2
86,8,20,2024-12-14,5
87,9,2,2024-08-18,2
88,10,9,2024-07-02,3
89,11,11,2024-10-11,1
90,12,6,2024-12-01,2
91,13,4,2024-06-12,3
92,14,17,2024-09-10,1
93,15,18,2024-10-17,2
94,16,1,2024-03-18,4
95,17,3,2024-06-01,1
96,18,13,2024-01-12,3
97,19,16,2024-08-25,5
98,20,10,2024-11-06,1
99,2,7,2024-02-10,2
100,5,5,2024-07-25,3
