SubscriptionID,UserID,SubscriptionType,StartDate,EndDate
1,1,Premium,2023-01-15,2024-01-15
2,2,Standard,2023-03-10,2024-03-10
3,3,Free,2023-06-05,2024-06-05
4,4,Premium,2023-07-20,2024-07-20
5,5,Standard,2023-09-01,2024-09-01
6,6,Free,2023-12-15,2024-12-15
7,7,Premium,2023-11-02,2024-11-02
8,8,Standard,2023-08-17,2024-08-17
9,9,Free,2023-05-06,2024-05-06
10,10,Premium,2023-10-22,2024-10-22
11,11,Standard,2023-04-12,2024-04-12
12,12,Free,2023-02-10,2024-02-10
13,13,Premium,2023-09-25,2024-09-25
14,14,Standard,2023-06-30,2024-06-30
15,15,Free,2023-01-28,2024-01-28
16,16,Premium,2023-07-10,2024-07-10
17,17,Standard,2023-11-15,2024-11-15
18,18,Free,2023-12-03,2024-12-03
19,19,Premium,2023-03-21,2024-03-21
20,20,Standard,2023-08-11,2024-08-11
