SubscriptionID,UserID,SubscriptionType,StartDate,EndDate
1,1,Premium,2023-01-15,2024-01-15
2,1,Free,2024-02-15,2024-05-15
3,1,Premium,2024-06-01,2025-06-01
4,2,Standard,2023-03-10,2024-03-10
5,2,Standard,2024-04-05,2024-10-05
6,3,Free,2023-06-05,2024-06-05
7,4,Premium,2023-07-20,2024-07-20
8,4,Free,2024-08-15,2024-12-15
9,5,Standard,2023-09-01,2024-09-01
10,5,Standard,2024-10-01,2025-03-01
11,6,Free,2023-12-15,2024-12-15
12,6,Free,2025-01-10,2025-05-10
13,7,Premium,2023-11-02,2024-11-02
14,8,Standard,2023-08-17,2024-08-17
15,9,Free,2023-05-06,2024-05-06
16,10,Premium,2023-10-22,2024-10-22
17,11,Standard,2023-04-12,2024-04-12
18,11,Free,2024-05-05,2024-08-05
19,12,Free,2023-02-10,2024-02-10
20,13,Premium,2023-09-25,2024-09-25
21,13,Standard,2024-10-10,2025-10-10
22,14,Standard,2023-06-30,2024-06-30
23,15,Free,2023-01-28,2024-01-28
24,16,Premium,2023-07-10,2024-07-10
25,16,Standard,2024-08-15,2025-08-15
26,17,Standard,2023-11-15,2024-11-15
27,18,Free,2023-12-03,2024-12-03
28,19,Premium,2023-03-21,2024-03-21
29,19,Free,2024-04-21,2024-07-21
30,20,Standard,2023-08-11,2024-08-11
31,20,Free,2024-09-11,2024-12-11
32,2,Free,2025-01-10,2026-01-10
33,6,Free,2024-03-15,2024-06-15
34,1,Standard,2025-07-15,2026-01-15
35,7,Standard,2024-02-05,2024-08-05
36,14,Premium,2024-07-30,2025-07-30
37,3,Free,2024-04-01,2024-10-01
38,10,Premium,2024-05-01,2025-05-01
39,5,Free,2024-10-10,2025-10-10
40,19,Standard,2025-05-01,2026-05-01
41,13,Standard,2024-01-20,2025-01-20
42,4,Standard,2024-03-15,2025-03-15
43,17,Premium,2024-12-20,2025-12-20
44,18,Free,2024-06-10,2025-06-10
45,9,Premium,2023-07-05,2024-07-05
46,6,Free,2024-08-20,2025-08-20
47,15,Standard,2024-12-15,2025-12-15
48,8,Free,2024-05-05,2024-11-05
49,12,Standard,2024-11-02,2025-11-02
50,11,Free,2024-01-30,2024-04-30
51,10,Premium,2024-12-05,2025-12-05
52,19,Free,2025-02-10,2025-05-10
53,20,Premium,2024-04-10,2025-04-10
54,3,Premium,2024-07-01,2025-07-01
55,9,Standard,2024-03-01,2025-03-01
56,2,Free,2024-11-15,2025-05-15
57,7,Premium,2024-09-10,2025-09-10
58,16,Free,2024-12-01,2025-06-01
59,4,Standard,2025-02-10,2026-02-10
60,13,Premium,2024-08-10,2025-08-10
61,5,Free,2024-04-15,2024-10-15
62,8,Premium,2024-03-05,2025-03-05
63,16,Free,2025-05-15,2026-05-15
64,1,Standard,2024-10-01,2025-10-01
65,2,Premium,2024-06-01,2025-06-01
66,5,Standard,2024-07-10,2025-07-10
67,11,Premium,2024-09-01,2025-09-01
68,4,Free,2024-01-01,2024-07-01
69,10,Standard,2025-02-01,2026-02-01
70,13,Standard,2024-09-15,2025-09-15
71,17,Free,2024-11-15,2025-11-15
72,18,Standard,2024-05-15,2025-05-15
73,19,Free,2024-06-10,2025-06-10
74,6,Premium,2025-09-01,2026-09-01
75,15,Free,2025-01-20,2025-07-20
76,7,Standard,2024-10-20,2025-10-20
77,14,Premium,2025-01-05,2026-01-05
78,9,Free,2025-03-15,2025-09-15
79,11,Standard,2024-07-01,2025-07-01
80,2,Free,2025-12-15,2026-06-15
81,8,Standard,2024-06-15,2025-06-15
82,6,Premium,2025-04-05,2026-04-05
83,3,Standard,2025-01-10,2026-01-10
84,5,Free,2025-08-10,2026-08-10
85,18,Premium,2024-12-01,2025-12-01
86,1,Free,2025-05-10,2025-11-10
87,12,Free,2025-01-15,2025-07-15
88,16,Free,2025-10-01,2026-10-01
89,2,Standard,2025-04-05,2026-04-05
90,17,Free,2025-06-20,2025-12-20
91,4,Standard,2025-03-15,2026-03-15
92,13,Free,2025-02-05,2025-08-05
93,7,Premium,2025-08-20,2026-08-20
94,8,Free,2025-02-05,2025-08-05
95,10,Free,2025-03-10,2025-09-10
96,20,Standard,2024-10-10,2025-10-10
97,9,Premium,2024-11-20,2025-11-20
98,6,Standard,2024-07-25,2025-07-25
99,12,Premium,2024-05-10,2025-05-10
100,15,Standard,2024-12-01,2025-12-01
